component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.5125545,0.5125545
2,0.31502074,0.82757527
3,0.14804205,0.9756173
4,0.019560454,0.99517775
5,0.0020475015,0.9972252
6,0.00078074576,0.998006
7,0.00036007282,0.99836606
8,0.00033469446,0.99870074
9,0.00019224916,0.99889296
10,0.00017719838,0.99907017
11,0.00013541515,0.9992056
12,0.00012377619,0.9993294
13,9.250893e-05,0.9994219
14,7.881096e-05,0.9995007
15,4.7704194e-05,0.9995484
16,4.1116095e-05,0.9995895
17,3.8723065e-05,0.99962825
18,3.5361263e-05,0.9996636
19,3.0920695e-05,0.9996945
20,2.3312681e-05,0.99971783
21,2.2509836e-05,0.99974036
22,2.0435042e-05,0.9997608
23,1.9596026e-05,0.9997804
24,1.741489e-05,0.9997978
25,1.6400294e-05,0.9998142
26,1.3984033e-05,0.9998282
27,1.1894198e-05,0.99984014
28,1.1012219e-05,0.99985117
29,1.0159813e-05,0.9998613
30,8.29876e-06,0.9998696
31,7.667544e-06,0.9998773
32,7.2256785e-06,0.9998845
