feature,cohens_d,mannwhitney_p,mean_cluster_0,mean_cluster_1,mean_cluster_2,mean_cluster_3
EDA_TD_P_Mean,2.5804,0.0,-0.7101859130484182,-0.32214981849864766,1.2325815753635194,-0.18705338420927528
EDA_TD_P_std,2.3398,0.0,-0.7023789659708641,-0.3100667495794017,1.1548110011381298,-0.12959015666149903
HR_TD_Max,2.2316,0.0,-0.5653917601275245,-0.34756115311778873,-0.27994178400267633,1.1816673044715766
EDA_TD_P_Slope_max,2.0895,0.0,-0.6685801009410195,-0.2748801227042643,1.0125169470257167,-0.056711450780604834
EDA_TD_T_Slope_max,2.0033,0.0,-0.6551895477971005,-0.3600739242309061,1.0819688087536237,-0.05921194073582856
EDA_TD_P_Slope_min,1.8452,0.0,0.6114378940573971,0.22036557077926094,-0.9856658161003613,0.1398533164495408
HR_TD_Mean,1.8006,0.0,-0.6803806742898714,-0.149852685043171,0.033858577989092045,0.8045438509813296
HR_TD_AUC,1.7573,0.0,-0.7938423268973991,0.04110561345919021,0.15359718443027823,0.623782692368956
HR_TD_std,1.7199,0.0,-0.4032519967772131,-0.3002535646553955,-0.36235452987293465,1.0524788462473724
HR_TD_Slope_min,1.6449,0.0,0.17275657892218313,0.4701879397179011,0.3395609347235431,-0.9528220675982007
EDA_TD_T_Slope_min,1.5017,0.0,0.5347799568581445,0.23028236752119088,-0.9146226800247547,0.13901895366902564
HR_TD_Slope_max,1.4868,0.0,-0.5277686523376937,-0.14254844202028102,-0.19266306636517483,0.8648805661435139
EDA_TD_T_std,1.3411,0.0,-0.404316405367815,-0.19473027292773687,0.8913875592376479,-0.2831463365707717
EDA_TD_P_Peaks,1.2729,0.0,-0.6087815929054146,0.10468730901226075,0.6195649250546889,-0.0855900758966386
EDA_TD_T_Mean,1.2631,0.0,-0.5051140605418005,0.14758217896770123,0.6307145162153426,-0.24307056461418663
EDA_TD_P_Slope_mean,1.2178,0.0,-0.48194921153805387,-0.035526953595539104,0.7453521076065349,-0.20848840117287934
EDA_TD_P_Skew,1.1233,0.0,0.5396447862282924,-0.3000797211539522,-0.5372405122983249,0.25822065367303926
EDA_TD_P_Kurtosis,1.0289,0.0,0.5208856470958018,-0.3199099259820567,-0.47683140247410405,0.2363853987454729
EDA_TD_P_ReT,0.9699,0.0,0.4523261443663799,-0.12022458871255157,-0.4887003227993967,0.1313522411317088
TEMP_TD_AUC,0.9601,0.0,-0.6022954433385496,0.24568741664517907,0.3189946666503819,0.07244908961961191
HR_TD_Skew,0.8851,0.0,0.14514136559067614,-0.13963507296794125,-0.40796971552461897,0.38478712148991334
HR_TD_Slope_mean,0.7515,2e-06,-0.3198314853921615,0.31915113013444857,0.2326374844826263,-0.20071591269403752
EDA_TD_T_Min,0.6932,5.6e-05,-0.22965496621041534,0.3405401210377788,0.08150496703785082,-0.16399119142663726
TEMP_TD_Kurtosis,0.6791,0.000263,-0.18674080805941712,0.5163374774970816,-0.08689874408979256,-0.20639070687300531
Unnamed: 0,0.62,0.000152,-0.26643658477112914,-0.023487788898742756,0.311966016655096,-0.012834044988975465
EDA_TD_P_Slope,0.6137,0.00028,-0.30368186468332986,0.08139803627847189,0.3994746193707631,-0.15929422729337628
HR_TD_Min,0.6029,0.000128,-0.3782965121232977,0.07718932070931107,0.21032624354296353,0.1079058323183168
EDA_TD_T_Skew,0.5604,0.001283,0.28335435584466784,0.15007077317885117,-0.3151257704825393,-0.11996367013943061
EDA_TD_T_Slope_mean,0.5568,0.000316,-0.24228160715956878,-0.17877704290180677,0.3579047349680861,0.06250306363478547
TEMP_TD_std,0.5524,0.002806,-0.05978166055291722,-0.2678209052829194,0.008099697454607127,0.3041681657501644
EDA_TD_T_Kurtosis,0.5321,0.000113,-0.27548738067024725,-0.22489500510325156,0.28687715975187317,0.20987708545929787
TEMP_TD_Slope_mean,0.4383,0.003997,0.09140833940874249,-0.2820226388563221,-0.01924350055681224,0.1894505421100133
HR_TD_Kurtosis,0.3998,0.016571,-0.0033046291523884256,0.11053705848033703,-0.2474559784863984,0.1441708728574379
EDA_TD_P_RT,0.3885,0.024899,0.1956208463604497,-0.05325623942952802,-0.19940311515882764,0.04619134360730697
TEMP_TD_Skew,0.3672,0.034243,0.10356042710142176,0.06814976681530359,-0.24012264772558956,0.06706442003858677
TEMP_TD_Slope_min,0.3656,0.024514,-0.005721531193886809,-0.17760636944409747,-0.016730495037088813,0.1887505566893794
EDA_TD_P_Min,0.2639,0.615551,0.09584361909594577,-0.18786895924926786,0.023819811034697602,0.05419018451857986
TEMP_TD_Mean,0.2471,0.068901,-0.14006669260984245,-0.003823742095296924,0.0515650034114282,0.09628213608047918
TEMP_TD_Slope_max,0.2227,0.101598,0.04050871965654679,-0.1447728015222318,-0.006015313265722892,0.10001487917963603
original_ID,0.0,1.0,0.0,0.0,0.0,0.0
